source_id,target_id,relationship
GovernmentOfJamaica,JurisdictionOfJamaica,hasJurisdiction
JurisdictionOfTheDominicanRepublic,jurisdiction of the Dominican Republic,rdf-schema#label
JurisdictionOfTheDominicanRepublic,Jurisdiction,22-rdf-syntax-ns#type
JurisdictionOfBermuda,jurisdiction of Bermuda,rdf-schema#label
GovernmentOfTheRepublicOfCuba,Government of the Republic of Cuba,rdf-schema#label
AntiguaAndBarbudaEntity,AntiguaAndBarbuda,hasSharedSovereigntyOver
JurisdictionOfSaintLucia,"jurisdiction of the judiciary of Saint Lucia, a mixed judicial system based on on both the civil law and English common law",core#definition
GovernmentOfGrenada,Grenada,governs
GrenadianEntity,GovernmentOfGrenada,isRepresentedBy
BarbadianEntity,Barbadian entity,rdf-schema#label
SaintVincentianEntity,SovereignState,22-rdf-syntax-ns#type
JurisdictionOfTheCaymanIslands,GovernmentOfTheCaymanIslands,isJurisdictionOf
GovernmentOfTheDominicanRepublic,NationalGovernment,22-rdf-syntax-ns#type
GovernmentOfSaintVincentAndTheGrenadines,"unitary parliamentary constitutional monarchy, with the Queen of Saint Vincent and the Grenadines (Elizabeth II) as head of state represented locally by a governor-general, an Anglo-Caribbean country of several islands in the Lesser Antilles island arc, in the southeast Windward Islands, which lies in the West Indies at the southern end of the eastern border of the Caribbean Sea where the latter meets the Atlantic Ocean",core#definition
GovernmentOfTheCommonwealthOfDominica,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfJamaica,Jurisdiction,22-rdf-syntax-ns#type
GovernmentOfBarbados,NationalGovernment,22-rdf-syntax-ns#type
BarbadianEntity,Barbados,hasSharedSovereigntyOver
JurisdictionOfHaiti,Jurisdiction,22-rdf-syntax-ns#type
BermudanEntity,regional sovereignty and polity that is Bermuda,core#definition
BahamianEntity,Bahamas,hasSharedSovereigntyOver
JurisdictionOfTheCaymanIslands,CaymanIslands,hasReach
JurisdictionOfTheDominicanRepublic,DominicanRepublic,hasReach
JurisdictionOfTheCaymanIslands,owl#NamedIndividual,22-rdf-syntax-ns#type
AntiguaAndBarbudaEntity,Antigua and Barbuda entity,rdf-schema#label
DominicanRepublicEntity,GovernmentOfTheDominicanRepublic,isRepresentedBy
JurisdictionOfBarbados,GovernmentOfBarbados,isJurisdictionOf
DominicaEntity,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheDominicanRepublic,DominicanRepublic,governs
JurisdictionOfTheDominicanRepublic,GovernmentOfTheDominicanRepublic,isJurisdictionOf
JurisdictionOfJamaica,"the jurisdiction of the judiciary of Jamaica, a system based on English common law and local statutes, including the Judicial Committee of the Privy Council (JCPC), which is the highest court of appeal for certain British territories, some Commonwealth countries and a few UK bodies",core#definition
SaintVincentianEntity,SaintVincentAndTheGrenadines,hasSharedSovereigntyOver
