source_id,target_id,relationship
GovernmentOfTheStateOfKuwait,"unitary constitutional monarchy in Western Asia, located at the tip of the Persian Gulf, bordering Iraq to the north and Saudi Arabia to the south",core#definition
GovernmentOfTheRepublicOfAzerbaijan,Azerbaijan,governs
JurisdictionOfTheLebaneseRepublic,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheSultanateOfOman,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfTheStateOfQatar,Jurisdiction,22-rdf-syntax-ns#type
StateOfIsrael,GovernmentOfTheStateOfIsrael,isRepresentedBy
GovernmentOfTheSultanateOfOman,JurisdictionOfTheSultanateOfOman,hasJurisdiction
GovernmentOfTheStateOfPalestine,Government of the State of Palestine,rdf-schema#label
GovernmentOfTheKingdomOfSaudiArabia,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheUnitedArabEmirates,"federal constitutional elective monarchy located at the eastern end of the Arabian Peninsula, bordering Oman and Saudi Arabia, with maritime borders in the Persian Gulf with Qatar and Iran",core#definition
StateOfTurkey,sovereign state and polity that is Turkey,core#definition
JurisdictionOfTheSyrianArabRepublic,SyrianArabRepublic,hasReach
JurisdictionOfTheRepublicOfTurkey,Jurisdiction,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfAzerbaijan,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfGeorgia,NationalGovernment,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfIraq,Government of the Republic of Iraq,rdf-schema#label
GovernmentOfTheHashemiteKingdomOfJordan,Government of the Hashemite Kingdom of Jordan,rdf-schema#label
JurisdictionOfTheRepublicOfTurkey,Turkey,hasReach
GovernmentOfTheLebaneseRepublic,Lebanon,governs
JurisdictionOfTheRepublicOfCyprus,Jurisdiction,22-rdf-syntax-ns#type
StateOfSyria,owl#NamedIndividual,22-rdf-syntax-ns#type
StateOfYemen,Yemen,hasFullSovereigntyOver
StateOfLebanon,GovernmentOfTheLebaneseRepublic,isRepresentedBy
JurisdictionOfTheUnitedArabEmirates,owl#NamedIndividual,22-rdf-syntax-ns#type
,"This ontology provides government entities and jurisdictions for countries that are defined as being part of Western Asia in the U.N. M49 codes, primarily those that are considered independent countries in ISO 3166, or are important from a banking perspective.",abstract
GovernmentOfTheUnitedArabEmirates,الإمارات العربية المتحدة,rdf-schema#label
JurisdictionOfTheRepublicOfTurkey,"jurisdiction of the judiciary of Turkey, which is the system of courts, including the Constitutional Court, Council of State, High Court of Appeals, and lower courts, that interprets and applies the law in Turkey",core#definition
StateOfIsrael,SovereignState,22-rdf-syntax-ns#type
GovernmentOfTheStateOfIsrael,"unitary parliamentary constitutional republic in Western Asia, bordering Lebanon to the north, Syria to the northeast, Jordan on the east, the Palestinian territories of the West Bank and the Gaza Strip to the east and west, respectively, and Egypt to the southwest",core#definition
StateOfYemen,State of Yemen,rdf-schema#label
GovernmentOfTheUnitedArabEmirates,UnitedArabEmirates,governs
JurisdictionOfGeorgia,jurisdiction of Georgia,rdf-schema#label
JurisdictionOfTheRepublicOfArmenia,GovernmentOfTheRepublicOfArmenia,isJurisdictionOf
StateOfTurkey,State of Turkey,rdf-schema#label
JurisdictionOfTheRepublicOfYemen,owl#NamedIndividual,22-rdf-syntax-ns#type
StateOfArmenia,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheUnitedArabEmirates,owl#NamedIndividual,22-rdf-syntax-ns#type
,,owl#versionIRI
JurisdictionOfTheLebaneseRepublic,Jurisdiction,22-rdf-syntax-ns#type
StateOfSyria,sovereign state and polity that is Syria,core#definition
StateOfArmenia,sovereign state and polity that is Armenia,core#definition
JurisdictionOfTheKingdomOfBahrain,Bahrain,hasReach
StateOfAzerbaijan,state of Azerbaijan,rdf-schema#label
StateOfBahrain,owl#NamedIndividual,22-rdf-syntax-ns#type
JurisdictionOfTheStateOfKuwait,GovernmentOfTheStateOfKuwait,isJurisdictionOf
JurisdictionOfTheRepublicOfYemen,GovernmentOfTheRepublicOfYemen,isJurisdictionOf
JurisdictionOfTheRepublicOfCyprus,jurisdiction of the Republic of Cyprus,rdf-schema#label
StateOfJordan,owl#NamedIndividual,22-rdf-syntax-ns#type
GovernmentOfTheStateOfKuwait,NationalGovernment,22-rdf-syntax-ns#type
GovernmentOfTheRepublicOfTurkey,Government of the Republic of Turkey,rdf-schema#label
StateOfAzerbaijan,sovereign state and polity that is Azerbaijan,core#definition
,WesternAsiaGovernmentEntitiesAndJurisdictions.rdf version of this ontology was modified to correct spelling errors.,core#changeNote
