id,type,name
Corporation,Entity,Corporation
"CorporateBodies.rdf version of this ontology was modified to eliminate unnecessary references, including those that have incorrect datatypes, and remove a reference that doesn't resolve.",Entity,"CorporateBodies.rdf version of this ontology was modified to eliminate unnecessary references, including those that have incorrect datatypes, and remove a reference that doesn't resolve."
not-for-profit corporation set up under specific state legislation as a business entity for homeowners' associations,Entity,not-for-profit corporation set up under specific state legislation as a business entity for homeowners' associations
"CorporateBodies.rdf version of this ontology was modified per the FIBO 2.0 RFC to address issues including elimination of missing labels and comments, integration with LCC, and replacing min 1 QCRs with someValuesFrom.",Entity,"CorporateBodies.rdf version of this ontology was modified per the FIBO 2.0 RFC to address issues including elimination of missing labels and comments, integration with LCC, and replacing min 1 QCRs with someValuesFrom."
owl#Restriction,Entity,owl#Restriction
instrument of incorporation,Entity,instrument of incorporation
 merge the legal person and formal organization class hierarchies.,Entity, merge the legal person and formal organization class hierarchies.
"corporation that has shareholders, each of whom receives a portion of the ownership of the corporation through shares of stock",Entity,"corporation that has shareholders, each of whom receives a portion of the ownership of the corporation through shares of stock"
isConstitutedBy,Entity,isConstitutedBy
"This is a US-specific type of non-profit corporation defined in recent legislation in a number of states. In California, for example, benefit corporations may be defined as public benefit or mutual benefit corporations, depending on their purpose.",Entity,"This is a US-specific type of non-profit corporation defined in recent legislation in a number of states. In California, for example, benefit corporations may be defined as public benefit or mutual benefit corporations, depending on their purpose."
XMLSchema#string,Entity,XMLSchema#string
1,Entity,1
hasObjective,Entity,hasObjective
corporation,Entity,corporation
"A common interest development is typically a type of housing, composed of individually owned units, such as condominiums, townhouses, or single-family homes, that share ownership of common areas, such as swimming pools, landscaping, and parking. Common interest developments (also known as community interest developments or CIDs) are managed by homeowners' associations.",Entity,"A common interest development is typically a type of housing, composed of individually owned units, such as condominiums, townhouses, or single-family homes, that share ownership of common areas, such as swimming pools, landscaping, and parking. Common interest developments (also known as community interest developments or CIDs) are managed by homeowners' associations."
"This may be the issuance of shares, the existence of some agreement, guaranties and so on.",Entity,"This may be the issuance of shares, the existence of some agreement, guaranties and so on."
CommonInterestDevelopmentCorporation,Entity,CommonInterestDevelopmentCorporation
hasNotionalAmount,Entity,hasNotionalAmount
